accuracy,precision,recall,f1_score,false_positive,false_negative,true_negative,true_positive,false_positive_rate,selection_score,ml_weight,rule_weight,threshold,model_name
0.9734811957569913,0.9709035222052067,0.9462686567164179,0.9584278155706727,19,36,1385,634,0.013532763532763533,0.9590620576135437,0.8,0.19999999999999996,0.6,baseline_default
0.9734811957569913,0.9709035222052067,0.9462686567164179,0.9584278155706727,19,36,1385,634,0.013532763532763533,0.9590620576135437,0.85,0.15000000000000002,0.65,baseline_default
0.9725168756027001,0.9842022116903634,0.9298507462686567,0.9562547966231773,10,47,1394,623,0.007122507122507123,0.9590020857163036,0.7,0.30000000000000004,0.6,tuned_random_search
0.9729990356798457,0.9767080745341615,0.9388059701492537,0.9573820395738204,15,41,1389,629,0.010683760683760684,0.9589304481428214,0.6,0.4,0.55,baseline_default
0.9729990356798457,0.9767080745341615,0.9388059701492537,0.9573820395738204,15,41,1389,629,0.010683760683760684,0.9589304481428214,0.65,0.35,0.6,baseline_default
0.9725168756027001,0.9826771653543307,0.9313432835820895,0.9563218390804598,11,46,1393,624,0.007834757834757835,0.9588409879712092,0.8,0.19999999999999996,0.65,tuned_random_search
0.9725168756027001,0.9766718506998445,0.9373134328358209,0.9565879664889566,15,42,1389,628,0.010683760683760684,0.9582240369874078,0.7,0.30000000000000004,0.65,baseline_default
0.970106075216972,0.9840764331210191,0.9223880597014925,0.9522342064714946,10,52,1394,618,0.007122507122507123,0.9554615197562262,0.75,0.25,0.65,tuned_random_search
0.9691417550626809,0.9871382636655949,0.9164179104477612,0.9504643962848297,8,56,1396,614,0.005698005698005698,0.9543723590467453,0.6,0.4,0.55,tuned_random_search
0.9672131147540983,0.9870550161812298,0.9104477611940298,0.9472049689440993,8,60,1396,610,0.005698005698005698,0.9515236412803243,0.65,0.35,0.6,tuned_random_search
0.9643201542912246,0.9869281045751634,0.9014925373134328,0.9422776911076443,8,66,1396,604,0.005698005698005698,0.9472308841041576,0.7,0.30000000000000004,0.65,tuned_random_search
0.946480231436837,0.987783595113438,0.844776119402985,0.910699919549477,7,104,1397,566,0.004985754985754986,0.9203909744400791,0.65,0.35,0.65,baseline_default
0.946480231436837,0.9860869565217392,0.8462686567164179,0.9108433734939759,8,103,1396,567,0.005698005698005698,0.920216604761893,0.6,0.4,0.6,baseline_default
0.9445515911282546,0.9876977152899824,0.8388059701492537,0.9071832122679581,7,108,1397,562,0.004985754985754986,0.9174128270015367,0.6,0.4,0.65,baseline_default
0.944069431051109,0.9893992932862191,0.835820895522388,0.9061488673139159,6,110,1398,560,0.004273504273504274,0.9168447255336261,0.6,0.4,0.6,tuned_random_search
0.9421407907425265,0.9893238434163701,0.8298507462686567,0.9025974025974026,6,114,1398,556,0.004273504273504274,0.9138523283636685,0.65,0.35,0.65,tuned_random_search
0.9387656702025072,0.9909584086799277,0.817910447761194,0.8961569910057237,5,122,1399,548,0.0035612535612535613,0.9087700449810163,0.6,0.4,0.65,tuned_random_search
